house_title	house_room	house_area	house_location	house_price
满五红本在手，目前业主自住房，东向安静看夜景	2室2厅	66.76平米	福田区	395万
彩世界家园3房2卫，满五年，红本子在手	3室1厅	96.18平米	罗湖区	560万
富通好旺角一期 3室2厅 700万	3室2厅	101.76平米	宝安区	700万
万科公园里二期 3室1厅 380万	3室1厅	78.46平米	龙岗区	380万
佛山街  方正  精装2房   朝南	2室1厅	63.27平米	南山区	475万
艺丰花园三房红本在手满五年业主诚心出售双地铁物业	3室2厅	79.31平米	福田区	395万
松园南小区 精装正规三房 家电家私全送 带停车位	3室1厅	84.35平米	罗湖区	460万
盛龙花园 2室1厅 150万	2室1厅	50.48平米	龙岗区	150万
东海丽景花园 2室1厅 295万	2室1厅	72.89平米	盐田区	295万
海滨城广场 2室1厅 365万	2室1厅	60.1平米	宝安区	365万
玮鹏花园优质两房 楼层好视野开阔 荔园+红岭 花园小区	2室1厅	80.87平米	福田区	650万
阳光棕榈园三期 3室2厅 630万	3室2厅	83.57平米	南山区	630万
阳光棕榈园三期 3室2厅 610万	3室2厅	83.58平米	南山区	610万
福源大厦 2室2厅 425万	2室2厅	78.74平米	福田区	425万
莱蒙水榭春天一期 3室2厅 615万	3室2厅	88.98平米	龙华区	615万
陶润懿峰 3室2厅 365万	3室2厅	74.24平米	龙华区	365万
南向海景4房，错层复式，户型好	4室1厅	74.33平米	宝安区	530万
宝珠花园 3室2厅 650万	3室2厅	118.27平米	南山区	650万
康桥紫郡 4室1厅 460万	4室1厅	97.89平米	龙岗区	460万
汇景豪苑 2室1厅 419万	2室1厅	65.65平米	南山区	419万
绿洲丰和 2室2厅 498万	2室2厅	43.64平米	福田区	498万
大澎花园 三房两厅 满两年少量欠款 高层朝南 南北通	3室2厅	88.42平米	罗湖区	470万
东方半岛花园A区 3室1厅 330万	3室1厅	90.53平米	龙岗区	330万
文峰华庭 2室2厅 300万	2室2厅	64.3平米	龙岗区	300万
荣超花园 2室2厅 275万	2室2厅	77.89平米	龙岗区	275万
金色年华家园 2室1厅 253万	2室1厅	37.55平米	罗湖区	253万
诗宁大厦 3室2厅 369万	3室2厅	99.01平米	盐田区	369万
换房诚意出售 东南朝向  端头位置安静	2室1厅	49.05平米	南山区	345万
地铁口  安静优雅  电梯房   三室  南向	3室1厅	106平米	宝安区	580万
星河华居 2室2厅 398万	2室2厅	68.67平米	福田区	398万
新亚洲花园 2房2厅300万 业主换房诚心出售 看房方便	2室2厅	80.3平米	龙岗区	300万
南光捷佳大厦 东南向两房 满五年红本 近公园 位置好	2室1厅	58.33平米	福田区	275万
宝丽大两房赠送大弧形阳台，利用率高，视野开拓通风好	2室1厅	75.13平米	罗湖区	330万
业主诚心出售 看海景 户型方正	4室1厅	113.28平米	宝安区	688万
万象新天 4室1厅 575万	4室1厅	84.43平米	宝安区	575万
龙都花园 2室1厅 420万	2室1厅	74.04平米	南山区	420万
长城二花园 4室1厅 1050万	4室1厅	123.41平米	福田区	1050万
德兴大厦 2室1厅 168万	2室1厅	38.1平米	罗湖区	168万
新港鸿花园 3室1厅 680万	3室1厅	122.12平米	罗湖区	680万
懿花园 3室2厅 430万	3室2厅	89.21平米	龙华区	430万
科技园 晶品居 两室一厅 阳光充足 视野棒	2室1厅	68.39平米	南山区	500万
益田村 3室2厅 525万	3室2厅	76.98平米	福田区	525万
花园城三期 2室1厅 620万	2室1厅	79.94平米	南山区	620万
碧华庭居新上房源 86平原始结构3房 安静看园景 红本	3室1厅	85.95平米	福田区	585万
椰风海岸 3室2厅 750万	3室2厅	103.37平米	南山区	750万
长城花园 3室1厅 900万	3室1厅	91.98平米	福田区	900万
20W维意定制装修，全屋用料考究，双地铁口，	1室1厅	47.1平米	南山区	300万
金色都汇 2室1厅 400万	2室1厅	67.59平米	罗湖区	400万
万科麓城三期 3室2厅 500万	3室2厅	88.27平米	龙岗区	500万
龙岗布吉 木棉湾 东方半岛花园 环境舒适 户外登山	2室1厅	65.04平米	龙岗区	255万
润城花园 2室1厅 535万	2室1厅	81.98平米	南山区	535万
可园七期 南向精装两房 高层视野开阔 主卧带景观阳台	2室2厅	79.41平米	龙岗区	370万
星河国际 客厅出阳台精装2房 视野开阔 无遮挡 诚意卖	2室2厅	86.98平米	福田区	820万
尚书苑 2室2厅 430万	2室2厅	55.94平米	福田区	430万
满5年红本在手，朝宝民路安静高楼层采光好	2室2厅	47.6平米	宝安区	275万
香缇雅苑 精装小两房 中间楼层看花园安静 满二 诚心卖	2室2厅	64.54平米	龙华区	308万
福田口岸4号地铁线实用三房，精装修，视野开阔	3室2厅	88.17平米	福田区	536万
布吉大芬地铁口 知春里 南北通两房 双阳台 通透无比	2室1厅	72.86平米	龙岗区	282万
地铁口0距离  朝南  安静  价格美丽	4室2厅	113.46平米	龙岗区	480万
万科桂苑大四房 买一层送一层还有16平花园	4室2厅	88.93平米	罗湖区	610万
特殊户型带露台 客厅朝南看一线海景 餐厅俯瞰人工湖	4室2厅	155.75平米	宝安区	1380万
满两年精装一房改小两房，看花园安静。业主诚售。	1室1厅	42.94平米	龙华区	197万
幸福城三期3层复式 朝花园 红本在手交易快 看房随时	5室2厅	89.98平米	龙华区	650万
坂田佳华领汇广场   蝴蝶型四房  东南向视野开阔	4室2厅	89.89平米	龙岗区	508万
太古城北南北通透，带51平大露台	4室2厅	156.44平米	南山区	2000万
高楼层 厅出阳台 朝南通透 户型方正 税费少	4室2厅	89.85平米	龙岗区	410万
05年 金光华物业管理好  新天地名居 高层 户型实用	1室1厅	38.31平米	罗湖区	216万
悦城花园 双层洋房 带车库 满两年 双阳台 南北通	4室2厅	139.51平米	龙岗区	560万
万科城三期宽景洋房200平顶楼复式，赠送面积大	6室1厅	198.86平米	龙岗区	1150万
新天国际  南北通安静4房 2梯2户 满5年 明德实验	4室2厅	163.69平米	福田区	1750万
保税区加福广场 看香港米铺景观	3室2厅	154.48平米	福田区	850万
龙岗区珑禧，双龙抱珠户型，4房3卫双主卧设计，毛坯房	4室2厅	157.79平米	龙岗区	530万
悠山美地 全新5房 看羊台山公园 看小区花园	5室2厅	141.71平米	龙华区	670万
月亮湾山庄 6室2厅 1500万	6室2厅	259平米	南山区	1500万
香山里南北通透 看高尔夫、海景 精装5房 随时可看	5室2厅	173.6平米	南山区	1480万
传麒尚林一手复式毛坯4房 朝南采光视野都不错	4室2厅	88.09平米	龙岗区	330万
美丽365花园原始复式三层 南北通风带电梯 龙华区	4室2厅	142.1平米	龙华区	650万
大运新城 中海一房一厅 满二税少 看房有钥匙 诚心出售	1室1厅	48.07平米	龙岗区	191万
儿童公园 桂园 小两房 随时看房 租金高	2室1厅	48.72平米	罗湖区	240万
中海怡翠山庄四期 2室2厅 285万	2室2厅	74.88平米	龙岗区	285万
安静的康欣园复式四房，诚心出售 随时可看 西南朝向	4室2厅	160.85平米	福田区	1000万
桂芳园六期三改五房，满五年，闹中取静，改善性大房。	4室2厅	95.19平米	龙岗区	460万
莲塘 东方尊峪 精装修 万科物业 高区3房710万	3室2厅	124.81平米	罗湖区	710万
圣莫丽斯花园经典户型，朝向南，楼层高，采光好！	5室1厅	169.8平米	龙华区	1550万
锦绣花园二期 3室2厅 1300万	3室2厅	180.15平米	南山区	1300万
越海家园111平大三房 安静看花园 业主诚心卖	3室2厅	111.67平米	福田区	830万
恒星园4房，一手业主红本手 观小区花园 视野开阔	4室2厅	129.86平米	福田区	1000万
首地容御 4室2厅 1850万	4室2厅	205.45平米	南山区	1850万
坂田 十二橡树庄园别墅  高实用面积 高扩展	4室2厅	211.01平米	龙岗区	1688万
中海深圳湾畔花园 4室1厅 870万	4室1厅	137.41平米	南山区	870万
经典3房2卫 看花园 满5年 两面采光 房无暗间	3室2厅	49.15平米	宝安区	432万
深小桂圆未用 满5年 高楼层采光好 户型方正	1室1厅	44.01平米	罗湖区	270万
峦山谷高楼层直面四面佛 每天朝圣 佛祖保佑你值得拥有	2室1厅	59.64平米	龙岗区	210万
大型商超 满两年税费低 交通方便 朝向采光好	1室0厅	28.11平米	宝安区	162万
新浩城花园 复式房安静 诚心急售	5室2厅	233.63平米	福田区	1500万
精装复式户型 百变空间 可根据需求自由改变分割	4室2厅	116.82平米	龙华区	620万
东方都会高层优质两房 满两年 户型方正 诚售	2室1厅	60.7平米	罗湖区	315万
熙和园 4室1厅 475万	4室1厅	83.76平米	龙岗区	475万
金地梅陇镇花园 4房2厅2卫 厅出阳台 随时看房	4室2厅	112.16平米	龙华区	638万
建安新村 4室2厅 698万	4室2厅	132.68平米	宝安区	698万
99.55平大三房 精装 电梯高楼层，方正实用房	3室2厅	99.55平米	福田区	680万
大运新城 中海康城塞纳 客厅出阳台 南向 精装大三房	3室2厅	137.56平米	龙岗区	600万
碧海云天一期 4室1厅 3780万	4室1厅	252.39平米	福田区	3780万
万科大户型，安静看花园，小区环境优美，居家舒适。	4室2厅	170.99平米	福田区	1300万
纯水岸端头位置   三面采光  全湖景  安静  12米L阳台	4室2厅	274.7平米	南山区	4000万
客厅出阳台，满2年;业主诚心出售	4室2厅	120.88平米	龙岗区	650万
单本证大四房，地铁口新小区，看花园采光棒，有钥匙	4室2厅	127.31平米	宝安区	870万
龙城广场地铁口，榭丽花园，精装2房，配套成熟	2室2厅	61.62平米	龙岗区	198万
看房方便 商务公寓 70年产权 自住出租均佳	1室0厅	31.79平米	福田区	170万
世纪村四期 4室1厅 1450万	4室1厅	183.02平米	南山区	1450万
御景华城 方正两房 厅出阳台 西南向看香港 赤尾地铁口	2室1厅	62.33平米	福田区	370万
天健世纪南区花园四房，高楼层通透户型，双阳台	4室2厅	146.05平米	福田区	1500万
莱蒙水榭春天5期 精装4房 红本在手 业主诚售	4室2厅	135.97平米	龙华区	1350万
近地铁口，品牌开发商，南向大阳台三房。	3室2厅	110.62平米	宝安区	1100万
红本满五年，南北通透小区少有的安静户型	4室2厅	174.7平米	南山区	1330万
带装修四房，朝南客厅出阳台，满二年，业主诚心出售	4室2厅	124.04平米	龙岗区	720万
【鸿昌花园】四房 自住装修保养的好 楼层高视野好！	4室2厅	126.72平米	宝安区	530万
东江豪苑 单价低 业主自住 精装大四房 看房方便	4室2厅	149.66平米	宝安区	600万
帝港海湾豪园 3室2厅 660万	3室2厅	109.06平米	福田区	660万
龙岗悦城花园 高层大复式 3万单价 户型方正满五年急卖	5室2厅	181.79平米	龙岗区	550万
南北通透大四房，客厅正出阳台，置换选这个户型不错。	4室2厅	137.29平米	龙华区	1050万
摩卡小镇  南北通透大复式  给您一个温馨的大家	4室2厅	122.36平米	龙岗区	595万
大花园社区，交通便利，南向，采光通风好	4室2厅	152.9平米	福田区	1150万
梅林一村3+1房，少有放卖，满五唯一，看小区园景	3室2厅	97.06平米	福田区	680万
精装保养好东南向三房新小区诺德公馆	3室2厅	86.36平米	龙岗区	430万
中海康城 厅出阳台 西南向三房 安静精装修 诚心出售	3室2厅	88.13平米	龙岗区	390万
花园位置，南北通，居家的选择！	4室2厅	112.58平米	龙华区	615万
天健现代城  大四房 双阳台 楼层适中 看花园全景	4室2厅	128.81平米	龙岗区	539万
笔架山下 精装修三房 红本在手 赠送车位	3室2厅	137.39平米	福田区	848万
万科第五园三期四房，赠送多实用性强。南北通透，安静	4室2厅	116.57平米	龙岗区	535万
星海名城六期 4室2厅 1050万	4室2厅	135.26平米	南山区	1050万
美墅蓝山家园 3室2厅 1080万	3室2厅	114.04平米	南山区	1080万
馨园二期 四房两厅 精装修 三层大复试 采光好保养好	6室2厅	142.35平米	龙华区	670万
二手业主 税费少 诚心卖  享受四房 山水景观好宜居	4室1厅	147.43平米	福田区	1030万
住家装修 大阳台户型方正 东南向 采光好	3室2厅	69.04平米	福田区	389万
布吉丹竹头 赠送56平 南向四居室 采光充足 英郡年华	4室1厅	82.75平米	龙岗区	470万
2012年入伙小区 2+1复式房 高层南北通	3室1厅	54.35平米	福田区	550万
安静 看高尔夫景观 精装修 保养好 红本在手	4室2厅	192.29平米	福田区	1150万
万科金域蓝湾 满五唯一 一线海景	4室1厅	149.98平米	福田区	1150万
南山前海自贸区 阳光棕榈园顶层复式 优享舒适生活	4室2厅	93.4平米	南山区	730万
高赠送4房 超大阳台正南看公园 天然氧吧安静舒适	4室2厅	140.9平米	宝安区	760万
振业峦山谷复式   满五唯一  精装修 拎包入住	3室2厅	85.77平米	龙岗区	350万
布吉上水径、丽湖花园精装修复式四房、赠送私家花园！	4室1厅	85.35平米	龙岗区	350万
汉森吉祥龙  我是一本证  一本证 东南看海 带保姆房	5室2厅	175.34平米	南山区	2980万
佳兆业悦峰，精装修复式大四房，看花园	4室1厅	111.04平米	龙岗区	750万
关口物业，东方盛世花园四房两卫，满五红本南北通透	4室1厅	100平米	龙岗区	410万
南北通透四房，送大入户 全新装修 花园中间	4室3厅	110.87平米	宝安区	740万
深业新岸线三期  南北对流  四房改六房 满5年红本在手	4室2厅	149.02平米	宝安区	1100万
锦绣花园二期 3室2厅 1400万	3室2厅	177.79平米	南山区	1400万
全新奢华装修，高层看红树林深圳湾海景，视野特棒	4室2厅	163.79平米	福田区	1400万
舒适精装修复式大三房安静看花园	3室2厅	89.08平米	龙华区	650万
龙岗 禾田世居 顶楼复式 红本在手 看房有钥匙	3室2厅	125.61平米	龙岗区	440万
佳兆业可园朝南看花园四房，格局方正采光好，随时看房	4室2厅	120.99平米	龙岗区	610万
振业城2期洋房  四房2卫 满五年  随时看房	4室2厅	135.9平米	龙岗区	550万
梅花山庄独栋别墅带车位，高氧小区	6室4厅	157.9平米	龙华区	998万
中信星光名庭精装四房 南北通透 视野开阔 满五年 红本	4室2厅	187.5平米	罗湖区	1200万
万科翰邻城  精装四房双卫  四个阳台 诚意出售	4室2厅	129.77平米	龙岗区	590万
汇龙花园精装复式 东南好朝向 私家花园	3室2厅	117.35平米	福田区	670万
可园四房复式，红本在手，满五年朝南，有锁匙看房	4室2厅	121.24平米	龙岗区	700万
栖湖双拼别墅 地面三层地下一层 带私家车库 私家花园	7室2厅	271.37平米	龙岗区	1888万
栖湖临湖双拼别墅 三面采光 距离栖湖只有一步之隔	7室2厅	271.37平米	龙岗区	1988万
龙岗 招商依山郡 顶楼复式 满五年 花园中间	6室2厅	234.77平米	龙岗区	900万
华侨城香山里西南向3+1房 业主诚售	4室2厅	162平米	南山区	1280万
星河盛世 4室2厅 780万	4室2厅	132.92平米	龙华区	780万
精装修精装修 山翠居东南向大三房 拎包入住 满两年	3室2厅	104平米	龙岗区	550万
入则宁静出则繁华主卧景观犹登顶望远海景山景尽收眼底	3室2厅	117.8平米	南山区	880万
碧水龙庭三期 近公园 出门就是地铁 精装修 双阳台	3室2厅	95.45平米	龙华区	535万
金丽豪苑 1房1厅 3，7号线地铁口 70年的住宅 满二	1室1厅	58.85平米	罗湖区	395万
旭飞华安园 低总价一房 高楼层	1室1厅	28.78平米	福田区	150万
金海华府 3室2厅 480万	3室2厅	82.64平米	宝安区	480万
梅兴苑南向安静两房采光通风好，业主诚心出售	2室2厅	74.24平米	福田区	385万
大运新城，龙岗外国语，客厅出阳台，2房，朝东南	2室1厅	56.76平米	龙岗区	400万
业主诚心放卖，紫气东来朝向，高层景观房	3室1厅	91.92平米	福田区	400万
珑禧 3室2厅 280万	3室2厅	82.17平米	龙岗区	280万
中间楼层+电梯房+2+1三房+东南朝向+满五唯一	3室2厅	67.24平米	龙华区	345万
龙珠花园 2室1厅 200万	2室1厅	58.47平米	龙岗区	200万
鸿翔花园东南大三房送入户花园 地铁9号线园岭站	3室2厅	152.08平米	罗湖区	1200万
此房满二年，安静看花园，中低楼层	3室2厅	80.53平米	龙岗区	292万
世纪假日广场 2室1厅 560万	2室1厅	89.7平米	南山区	560万
前海金岸 1室0厅 210万	1室0厅	27.96平米	南山区	210万
百仕达乐湖1栋南向三房 满五年红本 费用少过户快	3室1厅	143.62平米	罗湖区	1200万
第壹世界广场 3室2厅 600万	3室2厅	128.01平米	福田区	600万
雅云轩 3室2厅 800万	3室2厅	105.62平米	福田区	800万
花语岸 3室2厅 395万	3室2厅	88.54平米	龙岗区	395万
万豪御景苑 2室1厅 270万	2室1厅	34.96平米	南山区	270万
红本在手 户型方正 通风采光良好 视野开阔看海景	3室2厅	88.04平米	福田区	660万
育才双学·位  近地铁口  东南向带阳台  温馨两房	2室1厅	66.99平米	南山区	500万
长丰苑 1室0厅 170万	1室0厅	43.69平米	罗湖区	170万
万象天成 1室0厅 140万	1室0厅	39.83平米	龙岗区	140万
金地上塘道二期 3室2厅 600万	3室2厅	73.58平米	龙华区	600万
欧景城花园南北通位置好满五带装修业主诚心卖	4室2厅	180.15平米	龙岗区	648万
车公庙自住性成熟社区+小区花园美+高区海景房	4室1厅	167.51平米	福田区	1200万
看花园 位置安静 高赠送 大主卧 三阳台	4室2厅	120.09平米	宝安区	770万
蔚蓝海岸一期 南北通三房 安静舒适 诚意出售！	3室2厅	98.35平米	南山区	1035万
广兴源圣拿威 4室2厅 868万	4室2厅	119.41平米	宝安区	868万
东方沁园 顶楼三层复式 南北通透6房 业主诚心出售	6室3厅	143.4平米	龙岗区	630万
广岭家园小区4+1的户型，靠山安静	4室2厅	120.31平米	罗湖区	800万
保税区大户型房源诚心出售，经典复式诚心放卖。	5室2厅	283.18平米	福田区	1500万
港湾丽都 顶楼复式 自带花园 看房方便	4室2厅	133.22平米	南山区	1800万
碧海富通城五期 4室1厅 800万	4室1厅	131.8平米	宝安区	800万
祥祺花园 3室1厅 580万	3室1厅	93.33平米	南山区	580万
龙华花半里花园 4室2厅 475万	4室2厅	86.83平米	龙华区	475万
锦绣江南三期 电梯复试 位置安静 户型方正	5室2厅	93.41平米	龙华区	580万
香格名苑 5室2厅 1180万	5室2厅	174.05平米	南山区	1180万
龙岗北 正规四房两厅一厨两卫 南北通透看花园 高楼层	4室2厅	121.38平米	龙岗区	450万
振业城2期 复试中空客厅 赠送面积多 满两	5室2厅	342.17平米	龙岗区	1150万
大运  中海康城 正规方正四房  厅和房出阳台	4室1厅	169.42平米	龙岗区	700万
合正荣悦 4室2厅 1863万	4室2厅	207.21平米	罗湖区	1863万
百合山庄 4室1厅 530万	4室1厅	129.36平米	龙岗区	530万
美丽家园 复试4房  可改五房  业主诚心出售	4室2厅	101.49平米	龙华区	520万
龙园意境大四房 客厅带大阳台 端头位置无遮挡 安静	3室1厅	129.56平米	龙岗区	460万
安静居家，东湖水库旁，依山傍水，三面环山	3室1厅	147.11平米	罗湖区	1000万
中信星光名庭安静四房，全明格局看房方便	4室2厅	189.27平米	罗湖区	1360万
诚心出售 正规大五房两厅 双地铁物业  园林式小区	5室2厅	142.56平米	福田区	1180万
海馨苑少有出售5房 看小区安静位置 带一地下固定车位	5室2厅	147.81平米	福田区	1550万
富源商贸中心 4室2厅 560万	4室2厅	113.92平米	宝安区	560万
大面积户型  智能化封闭式小区 满2年2梯2户双地铁口	4室2厅	246.31平米	福田区	1500万
卓弘高尔夫雅苑 满2年  居家装修  朝南看花园	4室1厅	120.84平米	龙岗区	460万
荟芳园 3室2厅 630万	3室2厅	120.38平米	南山区	630万
大运新城、精装大复式、红本在手、您值得拥有	4室2厅	63.06平米	龙岗区	350万
鸿翔花园  中高层 看花园大三房 精装修带入户	3室2厅	134.04平米	罗湖区	1000万
复式5房 一套使用率很高的房子 高层三面采光	5室2厅	97.85平米	盐田区	335万
城市山林 4室2厅 1350万	4室2厅	135.75平米	南山区	1350万
万科第五园三期 4室2厅 580万	4室2厅	112.83平米	龙岗区	580万
现代城华庭 3室2厅 720万	3室2厅	125.7平米	南山区	720万
绿景香颂花园 复式四房 厅出阳台 位置安静 采光充足	4室2厅	124.87平米	龙华区	790万
安静封闭式小区，东南朝向，采光好	3室2厅	100.65平米	福田区	605万
中海月朗苑 朝南看花园 带阁楼 带全套家私电器卖	3室2厅	92.38平米	龙岗区	460万
京基御景印象四房 中间楼层 南北通 户型方正实用	4室2厅	89.08平米	坪山区	370万
中航天逸 5室2厅 1300万	5室2厅	173.04平米	龙华区	1300万
佳兆业上品雅园 3室2厅 600万	3室2厅	86.18平米	龙岗区	600万
纯住宅 单证 满2年 税费少 朝南 3线地铁 视野开阔	5室1厅	218.33平米	宝安区	2840万
精装修，南北通透三房，客厅正出阳台，业主自住保养好	3室2厅	109.23平米	龙华区	620万
中海康城国际一期 4室2厅 950万	4室2厅	232.86平米	龙岗区	950万
"精装三层中空顶楼复式,南北通透，业主自住，位置安静"	6室2厅	198.87平米	龙华区	1250万
合正荣悦 5室1厅 1700万	5室1厅	205.45平米	罗湖区	1700万
瀚盛花园 4室2厅 1550万	4室2厅	138.54平米	福田区	1550万
中熙香缤山 5室2厅 720万	5室2厅	121.96平米	宝安区	720万
中熙香缤山 5室2厅 780万	5室2厅	122.08平米	宝安区	780万
假日湾方正2房 自住保养好 看房方便 诚心卖	2室2厅	81.99平米	南山区	690万
花园中间位置，送大入户！安静！适合居住！	4室1厅	137.75平米	龙岗区	658万
中海怡美山庄 3室2厅 330万	3室2厅	75.03平米	龙岗区	330万
万象新天 4室2厅 570万	4室2厅	84.4平米	宝安区	570万
上梅林4号线9号线地铁口物业 海康大厦 方正一房	1室1厅	41.84平米	福田区	260万
此房满五 户型很方正 300米地铁站 业主诚心卖	3室2厅	117.15平米	南山区	818万
高拓 稀有四房 四联旁边 位置花园中间 安静舒适 南北	4室2厅	87.72平米	龙岗区	410万
金祥都市花园 3室2厅 390万	3室2厅	92.3平米	罗湖区	390万
地铁口物业，三层半复式，使用面积270平	5室2厅	169.51平米	宝安区	1250万
佳兆业上品雅园 3室1厅 600万	3室1厅	88.28平米	龙岗区	600万
中海九号公馆三期 5室2厅 2500万	5室2厅	212.19平米	宝安区	2500万
万科翰邻城 4室2厅 560万	4室2厅	118.18平米	龙岗区	560万
深房传麒尚林 4室2厅 330万	4室2厅	88.71平米	龙岗区	330万
仙桐御景 3室2厅 566万	3室2厅	96.92平米	罗湖区	566万
红树西岸满五年 高层通透 全海景 低调奢华新装修	3室2厅	191.85平米	南山区	2980万
京基滨河时代 4室2厅 1650万	4室2厅	185.03平米	福田区	1650万
鸿翔花园大三房送入户花园 地铁9号线园岭站 满五年	3室1厅	126.94平米	罗湖区	915万
紫薇苑西区 4室2厅 596万	4室2厅	145.12平米	龙岗区	596万
纯别墅区六房，全新现代风格装修，未入住过，拎包入住	6室2厅	170.11平米	龙华区	900万
前海自贸区 绿海名都 南向四房带233平露台	4室2厅	123.79平米	南山区	1650万
星都豪庭 4室2厅 580万	4室2厅	87.4平米	龙岗区	580万
带长12米阳台 东南向 位置好很安静 带产权车位 可看房	4室2厅	250.05平米	福田区	2800万
下一套同创九著成交房 精装四房 高楼层端头位 视野好	4室2厅	88.54平米	龙岗区	415万
红本在手 大复式4房3卫 精装保养好 业主诚心卖	4室2厅	141.18平米	宝安区	1100万
精装3房，采光好，户型好，拎包入住，	3室1厅	88.27平米	龙岗区	585万
香山里花园小高层 两梯两户 通透方正户型 高尔夫景观	4室2厅	171.76平米	南山区	1580万
兰江山第 3室2厅 1600万	3室2厅	176.2平米	福田区	1600万
城市花园 5室2厅 690万	5室2厅	204.71平米	龙岗区	690万
星海名城一期二组团 3室2厅 750万	3室2厅	102.5平米	南山区	750万
稀有户型 南北向 22平大阳台 可改五房，改善好选择	4室2厅	111.11平米	宝安区	1200万
小高层精装3房户型方正视野开阔	3室2厅	105.04平米	南山区	1400万
大运洋房 原始户型毛坯出售  可做大五房 满五 红本	4室2厅	164.98平米	龙岗区	950万
推荐 悦城花园 花园中间 精装四房满五年 业主诚心出售	4室2厅	141.65平米	龙岗区	430万
豪方现代豪园 3室2厅 680万	3室2厅	86.83平米	南山区	680万
海湾明珠 3室1厅 500万	3室1厅	90.58平米	宝安区	500万
汇锦名园 3室2厅 450万	3室2厅	70.83平米	罗湖区	450万
中海怡翠山庄三期 3室2厅 390万	3室2厅	92.94平米	龙岗区	390万
知春里 3室2厅 340万	3室2厅	85.76平米	龙岗区	340万
靖轩豪苑 2室1厅 440万	2室1厅	72.73平米	罗湖区	440万
美佳华首誉 4室1厅 620万	4室1厅	134.2平米	龙华区	620万
建安新村 3室2厅 515万	3室2厅	92.98平米	宝安区	515万
海悦华城 3室1厅 500万	3室1厅	89.39平米	福田区	500万
金色年华家园 3室1厅 520万	3室1厅	75.71平米	罗湖区	520万
中海阳光玫瑰园  朝南看山景 厅出阳台红本两房	2室1厅	71.94平米	南山区	600万
怡龙枫景园 精装标准四房 朝南户型 单价低税费少 划算	4室2厅	107.02平米	龙岗区	370万
地铁口谈棚改 适宜短炒 投入低 架空2楼 带租约 税少	3室2厅	89.38平米	南山区	630万
装修好的大三房   互相方正  有带私家顶楼花园	3室2厅	96.55平米	宝安区	395万
龙华地铁口物业，正规两房户型方正，看房方便。	2室2厅	73.8平米	龙华区	300万
常盛花园 3室2厅 368万	3室2厅	81.4平米	宝安区	368万
五环新村 3室2厅 585万	3室2厅	90.76平米	福田区	585万
南山区待拆迁物业，位置好、满五年、红本在手税费少！	3室1厅	113.84平米	南山区	539万
满五年唯一电梯大两房业主诚心出售楼下公园适合年轻人	2室1厅	68.38平米	宝安区	240万
